"ID_REF"	"GSM2911176"	"GSM2911177"	"GSM2911178"	"GSM2911179"	"GSM2911180"	"GSM2911181"	"GSM2911182"	"GSM2911183"	"GSM2911184"	"GSM2911185"	"GSM2911186"	"GSM2911187"	"GSM2911188"	"GSM2911189"	"GSM2911190"	"GSM2911191"	"GSM2911192"	"GSM2911193"	"GSM2911194"	"GSM2911195"	"GSM2911196"	"GSM2911197"	"GSM2911198"	"GSM2911199"	"GSM2911200"	"GSM2911201"	"GSM2911202"	"GSM2911203"	"GSM2911204"	"GSM2911205"
1	-0.6751199	-1.1215835	-1.1165948	-1.2109593	-1.2257535	-0.21425913	-2.0043595	-0.3685398	0.63319516	-2.0467012	-1.6442307	-1.5396338	-1.6972531	-0.84489566	-1.7780424	-1.3302355	0.14426528	-1.2012655	-1.6838278	-2.063422	-1.9101051	-1.3140571	-1.0545943	-1.2033888	-0.52356154	-0.6045256	0.602773	-0.80108106	-2.1202598	0.4206152
2	-1.6196433	-1.215992	-2.0559273	-0.9866672	0.039338592	-0.96451044	-1.0953025	-0.9784578	-0.59533083	-2.1789014	-0.9266925	-1.5667697	-0.63631165	-0.31647345	-1.5748837	-1.3857461	2.292387	1.9682862	-1.2116144	1.0187334	0.14839093	1.657359	1.428209	1.4304415	0.347507	-0.09256168	-0.40863693	0.25480318	0.36730254	0.97787625
3	0.029981546	-1.6887865	-0.41149333	0.647795	0.32615218	-0.9200991	-0.76696277	-0.96679926	-0.8847002	-0.536794	-0.4171259	-0.913751	-0.7384962	-0.91270137	-1.512694	-0.6622391	0.84936666	-0.38154316	-1.6656315	0.2512134	0.81438804	0.18853119	-0.3494929	0.067186885	-0.014800414	0.10057578	1.3078744	-0.09597964	0.35116875	0.079427585
4	-1.3692492	-0.6476842	-1.1231842	-2.0189066	-0.9775883	0.52917254	-0.40412104	0.17653787	1.0112437	-1.4365034	-0.7946134	-0.70298773	-0.30170852	-0.013628947	-1.2495025	-0.7106172	-1.0918813	-1.4582158	-1.8963641	-1.6234984	-1.6210214	-1.2550825	-1.6307166	-1.9737164	0.13673364	0.02262078	-0.6333735	-0.34808797	-1.3969986	0.29607648
5	-1.2073369	-1.2583591	-2.1311784	-1.8054378	-0.036954414	-0.9064434	-0.7777297	-0.9998395	-0.28440475	-1.7275921	-0.34057122	-1.1200266	0.075485036	-0.6336839	-1.1478393	-1.1611501	3.079274	2.9035995	-1.0040458	1.902433	0.036954414	2.7980187	2.5273209	2.4731927	0.7368561	-0.4682838	-0.75519353	-0.9757885	0.042894047	0.76656455
6	-0.3838422	-1.0656254	-0.919339	-0.66903347	-0.58983433	-0.5729292	-1.2148381	-1.0860642	-1.0613567	-0.82342905	-1.3309911	-1.03554	-0.636964	-0.0097749	-1.037173	-1.0239305	0.22326075	0.32465094	0.68935883	-0.3935648	-0.36643133	0.21169329	0.4256033	-0.14936328	0.92088443	0.511805	-0.74921256	-0.44131947	-0.8554206	2.6868966
7	-1.0926127	-0.63942057	-1.3254154	-0.5801393	-0.5976836	0.11439154	-0.2794596	-0.5263406	0.30008888	-1.3726914	-0.4215843	-0.63918304	0.02635158	0.36014366	-1.0258158	-0.80817705	-0.27322763	-1.0639626	-1.1762607	-1.2582868	-0.98138624	-1.370493	-0.66918504	-0.9159809	0.050575525	-0.40206555	0.1852801	-0.008153285	-1.0650405	0.6024246
8	1.1963047	-1.228613	-0.35090277	-0.44526738	-0.44953528	-1.4166514	-1.2733401	-0.86244786	0.00731502	-1.1446344	-0.8630251	-1.3036962	-0.8332392	-0.5091437	-1.0254058	-0.8456406	0.90995723	-0.4355735	-0.63756126	-1.3277084	-1.1444132	-0.5483651	-0.28890234	-0.43769687	-0.63234353	0.16116634	1.368465	-0.035389077	-0.92846245	-1.4325799
9	-0.71248966	-0.88499165	-0.8395131	-0.14457284	-0.85203826	-0.19464514	-0.54849565	0.04349439	-0.16381744	-0.86759293	-0.58281296	-0.7066448	-0.77544314	-0.5165591	-0.95398486	-0.9450937	0.10689546	-0.4165651	-0.39870343	-0.8668559	-0.80202854	-0.7664679	-0.6467931	-0.6595959	-0.4766286	-0.5534191	1.1679825	-0.37574154	-0.9109736	0.8792734
10	-0.64107436	-0.89876014	-0.6473194	-1.5180243	-0.7079081	-0.54091394	-0.632219	-0.81029934	-0.26149535	-1.2041667	-0.8224239	-1.0268092	-0.7769368	-0.54088503	-0.9438746	-1.0341519	-0.6806296	-0.98208946	-0.30234468	-1.317977	-1.2659183	-1.5682144	-1.4266114	-0.90900147	-0.004044229	-0.22440901	0.46276933	-0.47494447	-1.2592496	-0.6406165
11	-0.96664274	-0.55865234	-1.0017955	-0.32183382	-0.8458434	-0.1163409	-0.39660007	0.14809857	0.4473712	-0.9678836	-0.366054	-0.62493455	0.22305055	0.5477162	-0.7560326	-0.90024376	-0.36592656	-0.8016559	-0.45536098	-1.1330265	-0.8111746	-0.9674214	-0.9017637	-0.84635264	0.21059425	0.023327554	0.09258116	-0.28624877	-0.78452474	0.029456407
12	-0.4042046	-0.35501727	-0.27483	-0.26361823	-0.059157476	-0.20679402	-0.24540927	-0.095899664	0.13007881	-0.34892488	-0.28265327	-0.22223957	0.45609146	0.20877364	-0.6837816	-0.3650634	0.41518056	0.07186916	-0.37983066	0.047090426	-0.65635395	0.09290962	0.32816064	0.62415004	-0.123856634	-0.33361036	0.8736883	0.560561	-0.10185466	-0.057077453
13	2.8183055	0.50140285	2.5468347	-0.5905846	0.011846418	-0.33281848	-0.6024886	-0.49776417	0.20968643	0.90902406	-0.2870912	-0.54297376	-0.37226582	0.22561438	-0.6790918	-0.17444217	1.3760636	1.8656403	2.1356342	1.9338257	-0.3134203	1.593382	0.58486	2.1523407	0.19289018	-0.12423717	0.5340071	0.77527565	1.6826206	-0.7054553
14	-0.2920904	-0.33563477	-0.7335653	0.113360874	0.015497369	-0.29515484	-0.34155124	0.116947174	-0.26162928	-0.13057503	-0.29537788	-0.2784288	-0.4248219	0.018373946	-0.660549	-0.24700278	0.52729475	-0.6240538	-0.055485647	-0.51820785	-0.36488438	-0.76862574	0.026299957	-0.25163496	-0.43146837	-0.22149616	0.9858025	-0.41805157	-0.7143098
15	0.3742518	-1.3445162	-0.06722306	1.1726961	0.5831697	-0.6518869	-0.47634894	-0.4924381	-0.29798833	-0.28509015	-0.14667518	-0.4788571	-0.8778723	-0.4330889	-0.60008365	-0.61148804	1.193637	-0.106460065	-1.103318	0.40173438	1.2138919	0.22421192	0.11675149	0.6754774	0.93347365	0.44484606	1.6521447	0.24829064	0.72880894	1.6330119
16	-0.50289696	-0.89333576	-0.75548494	-0.44325837	-1.0246712	-0.48849872	-0.4749052	-0.5136638	-0.43892375	-0.46090215	-0.50173986	-0.49138454	0.059096675	-0.5683013	-0.5798304	-0.5522469	-0.15527304	-1.1475734	-0.9832092	-0.74672836	-0.5840705	-1.122724	-1.0909262	-1.0128535	-0.07354403	-0.5228126	0.3032347	-0.5963926	-0.8562063	-0.8857345
17	-0.52216595	-0.66085535	-1.0427506	0.31977263	-0.41240644	0.042107984	-0.34484965	0.9571942	0.48512807	-0.63194245	-0.090090305	-0.2852541	1.3861377	0.48864543	-0.49858326	-0.40080932	-0.056311265	-0.53745955	-0.048797656	-0.35188314	-0.5638975	-0.7028124	-0.26234788	-0.3042229	-0.4358035	-0.6236843	0.22533412	-0.28070164	-0.32142398	-1.3346606
18	0.06415193	-0.61293393	-0.6411671	-0.12333929	-0.8480704	-0.6154704	-0.44499466	0.10383494	-0.036161248	-0.77736217	-0.07832387	-0.67823434	-0.26672298	0.20680572	-0.49748725	0.004874533	1.640555	-0.9083282	-0.8927116	-0.8506986	-1.0141809	-0.21212785	-0.6620396	-0.31242192	0.124587506	0.7251518	1.2979026	0.1333073	-0.44538206	-1.2005405
19	-0.6017108	-0.5360808	-0.67968875	0.12668207	-0.45512548	-0.358066	-0.23320657	-0.3054501	0.14441141	-0.60135704	-0.57328326	-0.4958048	-0.21016525	0.17632166	-0.44960397	-0.002369019	0.21767433	-0.5297853	-0.41703287	-0.5581756	-0.8210231	-0.79232997	-0.31468394	-0.19248086	-0.20011021	0.41016442	0.67618203	-0.2095412	0.036555592	0.16892159
20	-0.53538364	0.003707685	-0.08596832	-0.61289525	0.046507843	-0.82176137	-0.6982722	-0.7529842	-0.8721208	-0.003707685	-0.6073311	-0.009344062	-0.91599846	-0.7216081	-0.42875716	-0.44209382	0.4089702	0.19581947	-1.0392649	0.44316053	-0.32461673	-0.17034906	0.02990574	-0.083232775	-0.1481047	0.46855432	0.10518982	-0.4804807	-0.74845076	-0.0713441
21	-1.3667514	-0.1971347	-0.45815653	-0.55154824	-0.21928835	0.18999411	-0.15592459	0.69186014	0.46982923	-1.4978409	0.06790389	-0.73140806	0.17193219	0.13151905	-0.41062728	-0.41831687	-0.5473663	-1.1687813	-1.2706717	-1.1911602	-0.65477645	-0.5409254	-0.88070226	-1.113437	0.19707228	-0.8844261	-0.08885861	-0.61279833	-0.033485003	0.17903641
22	-0.28313312	-0.34254262	-0.31538022	-0.8263513	-0.399799	0.06554619	-0.38244957	-0.014876931	-0.27109134	-0.50796694	0.05734782	-0.23309956	-0.33938667	-0.21240067	-0.39943177	-0.26674598	-0.40534034	-0.29114503	0.5150793	-0.29317248	-0.19857642	-0.15748045	-0.4122788	-0.331671	-0.035393957	-0.28410184	-0.46154597	-0.033959758	-0.1396012	-1.1679906
23	0.1239546	-0.4129234	-0.3175203	-0.2613585	-0.08508253	-0.4024545	-0.2550952	-0.093774796	0.098485865	-0.23984116	-0.16732024	-0.52762216	-0.1945899	-0.03841536	-0.3902376	-0.072905876	0.94333977	0.41241303	-0.15587825	0.004430268	-0.4766349	0.7949156	1.1492865	0.4661567	0.40947908	0.33477995	1.4018475	-0.002006579	-0.002680436	-1.0480181
24	-0.9361093	-0.115059786	0.055668235	-0.2716373	0.19673996	0.11861208	-0.054355297	1.100042	0.32676613	-1.3328682	-0.329951	-0.3603112	0.3126463	0.38347867	-0.36389387	-0.12334941	-0.39272425	-0.47879007	0.35367492	-1.1587509	-0.60085773	-1.0115805	-0.5898823	-0.5900458	0.016047874	0.5879643	-0.40179843	0.12648891	-0.17986028	1.3084527
25	-1.3572397	-0.62458485	-1.4134817	-1.4944311	-0.6637845	-0.15459937	-0.22802362	0.38242692	-0.04825178	-1.301351	-0.054205786	-0.49814716	-0.46179432	-0.48035127	-0.35164592	-0.47302827	-0.5378546	-1.0121105	-0.45826456	-0.9920753	-0.72721857	-0.51924	-1.1809474	-1.1897572	-0.09057711	-0.56772006	-0.07934689	-0.5156297	-0.783274	1.1318619
