ID	Bioinformatic_ID	FLAG	ORF	Name	Oncogenic	Pathway
1	Cyclin_B1-R-V		CCNB1	Cyclin_B1	1	Mitosis
2	ACC1-R-C	Caution	ACACA	ACC1		Metabolism
3	S6_pS240_S244-R-V		RPS6	S6_pS240_S244	1	mTOR
4	MSH6-R-C	Caution	MSH6	MSH6	1	DNA_Repair
5	ACC_pS79-R-V		ACACA	ACC_pS79		Metabolism
6	Bcl-2-M-V		BCL2	Bcl-2	1	Apoptosis
7	MSH2-M-C	Caution	MSH2	MSH2	1	DNA_Repair
8	Rb_pS807_S811-R-V		RB1	Rb_pS807_S811		Mitosis
9	PCNA-M-V		PCNA	PCNA	1	Hormone
10	4E-BP1-R-V		EIF4EBP1	4E-BP1	-1	mTOR
11	Chk2-M-C	Caution	CHEK2	Chk2	-1	Mitosis
12	EGFR_pY1068-R-V		EGFR	EGFR_pY1068	1	mTOR
13	HER3-R-V		ERBB3	HER3	1	mTOR
14	ASNS-R-NA_GBL9021138		ASNS	ASNS		Miscellaneous
15	S6_pS235_S236-R-V		RPS6	S6_pS235_S236	1	mTOR
16	4E-BP1_pS65-R-V		EIF4EBP1	4E-BP1_pS65	1	mTOR
17	PKC-alpha-M-V		PRKCA	PKC-alpha		Miscellaneous
18	eEF2K-R-V		EEF2	eEF2K	1	Miscellaneous
19	AIB1-M-V		NCOA3	AIB1	1	Jak_STAT
20	c-Myc-R-C	Caution	MYC	c-Myc		Miscellaneous
21	mTOR-R-C	Caution	MTOR	mTOR	1	mTOR
22	eIF4E-R-V		EIF4E	eIF4E	1	mTOR
23	NF-kB-p65_pS536-R-C	Caution	NFKB1	NF-kB-p65_pS536	1	NF_KAPPA_B
24	Smac-M-V		DIABLO	Smac	-1	Apoptosis
25	eEF2-R-V		EEF2	eEF2		Miscellaneous
26	Rad50-M-C	Caution	RAD50	Rad50		DNA_Repair
27	Notch1-R-V		NOTCH1	Notch1	1	Notch
28	AXL_pT702-R-NA_GBL9021151		AXL	AXL_pT702		Miscellaneous
29	XRCC1-R-C	Caution	XRCC1	XRCC1		DNA_Repair
30	VASP-R-C	Caution	VASP	VASP		Miscellaneous
31	Claudin-7-R-V		CLDN7	Claudin-7		Adhesion
32	YAP-R-V		YAP1	YAP	1	Apoptosis
33	Src_pY416-R-C	Caution	SRC	Src_pY416	1	Jak_STAT
34	AXL-M-NA_GBL9021150		AXL	AXL		Miscellaneous
35	Bim-R-V		BID	Bim	-1	Apoptosis
36	Cyclin_E1-M-V		CCNE1	Cyclin_E1	1	Mitosis
37	p53-R-V		TP53	p53	-1	Mitosis
38	PI3K-p110-alpha-R-C	Caution	PIK3CA	PI3K-p110-alpha	1	mTOR
39	PARP_cleaved-M-C	Caution	PARP1	PARP_cleaved	-1	Apoptosis
40	Snail-M-C	Caution	SNAI2	Snail		Miscellaneous
41	Smad1-R-V		SMAD1	Smad1		Miscellaneous
42	GSK3-alpha-beta_pS21_S9-R-V		GSK3A	GSK3-alpha-beta_pS21_S9	1	mTOR
43	INPP4B-G-C	Caution	INPP4B	INPP4B		Miscellaneous
44	IRS1-R-V		IRS1	IRS1	1	mTOR
45	PKC-alpha_pS657-R-V		PRKCA	PKC-alpha_pS657		Miscellaneous
46	PRAS40_pT246-R-V		AKT1S1	PRAS40_pT246	1	mTOR
47	Tuberin-R-C	Caution	TSC2	Tuberin	-1	mTOR
48	PR-R-V		PGR	PR	1	Hormone
49	GSK3_pS9-R-V		GSK3A	GSK3_pS9	1	mTOR
50	CDK1-R-V		CDC2	CDK1	-1	Mitosis
51	c-Kit-R-V		KIT	c-Kit	1	mTOR
52	E-Cadherin-R-V		CDH1	E-Cadherin	-1	Adhesion
53	Akt_pT308-R-V		AKT1	Akt_pT308	1	mTOR
